package, guess, num_versions, num_parsed_versions, breaking_versions
benchmark-function, Unknown, 1, 0, 
benchpress, PVP, 12, 11, 0.2, 0.2.2, 0.2.2.7
bencode, PVP, 7, 4, 0.5, 0.6.0.0
bencoding, PVP, 12, 1, 0.2.0.0
bento, Unknown, 1, 0, 
berkeleydb, Unknown, 1, 0, 
berp, Unknown, 2, 0, 
bert, Unknown, 15, 5, 1.1.1, 1.2.2.5
besout, Unknown, 3, 1, 0.2.0.1
bet, Unknown, 6, 0, 
betacode, Unknown, 1, 0, 
between, PVP, 5, 4, 0.10.0.0
bf-cata, PVP, 2, 1, 1.1
bff, Unknown, 6, 0, 
bff-mono, Unknown, 4, 1, 
bgmax, PVP, 4, 3, 0.2.0.0, 0.2.0.1
bgzf, Unknown, 1, 0, 
bibdb, Unknown, 5, 0, 
bibtex, PVP, 13, 9, 0.1
bidirectionalization-combined, Unknown, 2, 0, 
bidispec, Unknown, 2, 1, 0.1.3
bidispec-extras, Unknown, 1, 0, 
bifunctors, PVP, 31, 18, 3.2, 4.2
bighugethesaurus, Unknown, 1, 0, 
billboard-parser, Unknown, 2, 0, 
billeksah-forms, Unknown, 1, 0, 
billeksah-main, Unknown, 1, 0, 
billeksah-main-static, Unknown, 1, 0, 
billeksah-pane, Unknown, 1, 0, 
billeksah-services, Unknown, 1, 0, 
bimap, Unknown, 9, 7, 0.2.4, 0.3.1
bimap-server, Unknown, 2, 1, 
bimaps, Unknown, 6, 3, 0.0.0.3
binary, PVP, 39, 35, 0.4.3, 0.4.4, 0.5, 0.5.0.2, 0.5.1.0, 0.6.0.0, 0.6.3.0, 0.6.4.0, 0.7.5.0, 0.7.6.0, 0.8.0.0, 0.8.3.0, 0.8.4.0, 0.8.4.1
binary-bits, Unknown, 5, 4, 
binary-communicator, Unknown, 4, 3, 1.0.1, 1.0.2.1
binary-conduit, PVP, 9, 8, 1.1.0, 1.2.2, 1.2.4.1
binary-derive, Unknown, 2, 1, 
binary-enum, Unknown, 2, 1, 0.1.2.0
binary-file, PVP, 20, 11, 0.6, 0.13.1, 0.14.1, 0.15.22
binary-generic, PVP, 3, 2, 0.2
binary-ieee754, Unknown, 1, 0, 
binary-indexed-tree, Unknown, 1, 0, 
binary-list, PVP, 28, 25, 0.2.0.0, 0.3.0.0, 0.3.1.0, 1.0.0.0, 1.1.0.0, 1.1.0.1, 1.1.1.1
binary-literal-qq, Unknown, 1, 0, 
binary-orphans, Unknown, 7, 2, 0.1.1.0, 0.1.5.1
binary-parser, Unknown, 4, 3, 
binary-parsers, Unknown, 5, 0, 
binary-protocol, Unknown, 1, 0, 
binary-protocol-zmq, PVP, 2, 1, 0.2
binary-search, PVP, 7, 4, 0.9, 1.0.0.2, 1.0.0.3
binary-shared, Unknown, 4, 3, 0.8.1
binary-state, Unknown, 2, 1, 
binary-store, Unknown, 1, 0, 
binary-streams, Unknown, 2, 1, 
binary-strict, Unknown, 19, 5, 0.4.8.3
binary-tagged, Unknown, 8, 2, 
binary-typed, PVP, 9, 3, 0.2.0.0
binarydefer, Unknown, 4, 2, 1.2.1
bind-marshal, Unknown, 1, 0, 
binding-core, Unknown, 3, 2, 0.2.2
binding-gtk, Unknown, 2, 1, 
binding-wx, Unknown, 2, 0, 
bindings, Unknown, 4, 0, 
bindings-DSL, Unknown, 23, 15, 1.0.17
bindings-EsounD, Unknown, 2, 0, 
bindings-GLFW, Unknown, 15, 2, 
bindings-K8055, Unknown, 3, 0, 
bindings-apr, Unknown, 1, 0, 
bindings-apr-util, Unknown, 1, 0, 
bindings-audiofile, Unknown, 3, 0, 
bindings-bfd, PVP, 4, 2, 0.2.0, 1.0.0
bindings-cctools, Unknown, 2, 0, 
bindings-codec2, Unknown, 2, 0, 
bindings-common, PVP, 20, 10, 0.1.1, 1.1, 1.3, 1.3.2, 1.3.3
bindings-dc1394, Unknown, 3, 0, 
bindings-directfb, PVP, 3, 2, 0.0.2, 0.1
bindings-eskit, Unknown, 1, 0, 
bindings-fann, Unknown, 2, 1, 
bindings-fluidsynth, Unknown, 2, 0, 
bindings-friso, Unknown, 1, 0, 
bindings-glib, Unknown, 5, 4, 0.1.2, 0.1.4
bindings-gobject, PVP, 6, 4, 0.2, 0.2.1, 0.3, 0.4
bindings-gpgme, Unknown, 6, 5, 0.1.1, 0.1.3, 0.1.4, 0.1.6
bindings-gsl, PVP, 8, 3, 0.2, 0.2.1
bindings-gts, Unknown, 4, 1, 0.1.1
bindings-hamlib, Unknown, 1, 0, 
bindings-hdf5, Unknown, 1, 0, 
bindings-levmar, PVP, 12, 5, 1.0, 1.1
bindings-libcddb, PVP, 3, 2, 0.2, 0.3
bindings-libffi, PVP, 5, 2, 0.2, 0.3
bindings-libftdi, Unknown, 1, 0, 
bindings-librrd, PVP, 3, 2, 0.2, 0.2.0.1
bindings-libstemmer, Unknown, 1, 0, 
bindings-libusb, PVP, 16, 8, 1.1, 1.3, 1.4, 1.4.2, 1.4.5.0
bindings-libv4l2, Unknown, 1, 0, 
bindings-libzip, PVP, 10, 8, 0.1.0.1, 0.10, 0.11
bindings-linux-videodev2, Unknown, 1, 0, 
bindings-lxc, Unknown, 4, 0, 
bindings-mmap, Unknown, 2, 0, 
bindings-mpdecimal, Unknown, 4, 0, 
bindings-nettle, Unknown, 7, 1, 
bindings-parport, Unknown, 4, 3, 
bindings-portaudio, Unknown, 4, 0, 
bindings-posix, PVP, 11, 8, 1.0.1, 1.1, 1.2, 1.2.2, 1.2.4
bindings-potrace, Unknown, 1, 0, 
bindings-ppdev, Unknown, 3, 2, 
bindings-saga-cmd, Unknown, 3, 2, 
bindings-sane, Unknown, 2, 0, 
bindings-sc3, Unknown, 3, 0, 
bindings-sipc, Unknown, 2, 0, 
bindings-sophia, Unknown, 3, 0, 
bindings-sqlite3, Unknown, 6, 3, 1.0.1, 1.0.2, 1.0.3
bindings-svm, Unknown, 3, 1, 0.2.1
bindings-uname, Unknown, 1, 0, 
bindings-wlc, Unknown, 6, 0, 
bindings-yices, Unknown, 5, 0, 
bindynamic, Unknown, 1, 0, 
binembed, Unknown, 3, 0, 
binembed-example, Unknown, 2, 0, 
bini, Unknown, 6, 0, 
bio, PVP, 16, 10, 0.3.3.4, 0.3.5, 0.4, 0.4.4, 0.4.6, 0.4.7, 0.4.8, 0.5
bioace, Unknown, 2, 0, 
bioalign, Unknown, 6, 0, 
biocore, PVP, 4, 3, 0.3
biofasta, Unknown, 3, 2, 
biofastq, Unknown, 1, 0, 
biohazard, Unknown, 6, 2, 0.6.3, 0.6.5
bioinformatics-toolkit, Unknown, 9, 0, 
biophd, Unknown, 9, 3, 0.0.3, 0.0.4, 0.0.5
biopsl, Unknown, 4, 3, 
biosff, Unknown, 9, 5, 0.3.3
biostockholm, PVP, 10, 7, 0.2, 0.3
bird, Unknown, 17, 14, 0.0.7, 0.0.8, 0.0.9, 0.0.11, 0.0.12, 0.0.15, 0.0.19
bit-array, Unknown, 4, 3, 0.1.0.1, 0.1.1, 0.1.2
bit-vector, PVP, 2, 1, 0.2.0
bitarray, Unknown, 2, 1, 
bitcoin-api, Unknown, 6, 0, 
bitcoin-api-extra, Unknown, 2, 1, 
bitcoin-block, Unknown, 4, 1, 
bitcoin-hs, Unknown, 1, 0, 
bitcoin-payment-channel, Unknown, 17, 0, 
bitcoin-rpc, Unknown, 2, 0, 
bitcoin-script, PVP, 5, 4, 0.9.1, 0.10.0, 0.11.0, 0.11.1
bitcoin-tx, PVP, 7, 4, 0.10.0, 0.11.0, 0.12.0, 0.12.1
bitcoin-types, Unknown, 3, 2, 
bitly-cli, Unknown, 3, 0, 
bitmap, Unknown, 3, 2, 0.0.1, 0.0.2
bitmap-opengl, Unknown, 3, 1, 
bitmaps, Unknown, 3, 0, 
bits, PVP, 9, 6, 0.4, 0.5
bits-atomic, Unknown, 4, 0, 
bits-bytestring, Unknown, 2, 1, 
bits-bytestring-lazy, Unknown, 1, 0, 
bits-conduit, PVP, 2, 1, 0.2.0.0
bits-extras, Unknown, 4, 3, 0.1.2, 0.1.3
bitset, PVP, 15, 9, 0.6, 1.0, 1.4.5, 1.4.6, 1.4.7
bitspeak, Unknown, 3, 0, 
bitstream, PVP, 6, 2, 0.2
bitstring, Unknown, 1, 0, 
bittorrent, Unknown, 3, 0, 
bitvec, Unknown, 3, 1, 0.1.0.2
bitwise, Unknown, 5, 2, 0.1.0.1
bitx-bitcoin, PVP, 18, 11, 0.2.0.0, 0.3.0.0, 0.4.0.0, 0.5.0.0, 0.6.0.0, 0.7.0.0, 0.11.0.0
bk-tree, Unknown, 2, 1, 
bkr, Unknown, 3, 0, 
bktrees, Unknown, 9, 6, 0.3.1
bla, Unknown, 2, 0, 
black-jewel, Unknown, 1, 0, 
blacktip, Unknown, 2, 0, 
blake2, Unknown, 2, 1, 
blakesum, Unknown, 6, 2, 
blakesum-demo, Unknown, 1, 0, 
blank-canvas, PVP, 10, 5, 0.5, 0.6
blas, Unknown, 9, 4, 0.7.5
blas-hs, Unknown, 2, 1, 0.1.1.0
blastxml, PVP, 4, 1, 0.3
blatex, Unknown, 10, 0, 
blaze, Unknown, 3, 0, 
blaze-bootstrap, Unknown, 2, 1, 
blaze-builder, PVP, 24, 18, 0.2.0.0, 0.2.0.1, 0.2.1.0, 0.3.0.0, 0.3.1.1, 0.4.0.0, 0.4.0.2
blaze-builder-conduit, PVP, 14, 11, 0.3.0, 0.5.0
blaze-builder-enumerator, Unknown, 10, 0, 
blaze-from-html, Unknown, 7, 0, 
blaze-html, PVP, 54, 44, 0.2.4.0, 0.3.0.0, 0.4.0.0, 0.5.0.0, 0.5.1.0, 0.6.0.0
blaze-html-contrib, Unknown, 5, 0, 
blaze-html-hexpat, Unknown, 1, 0, 
blaze-html-truncate, PVP, 9, 7, 0.2.0.0
blaze-json, Unknown, 3, 2, 
blaze-markup, Unknown, 22, 13, 0.6.1.1, 0.7.0.3
blaze-shields, Unknown, 4, 3, 0.1.1.2, 0.1.1.11
blaze-svg, Unknown, 12, 5, 0.3.1.0, 0.3.3.0, 0.3.6
blaze-textual, Unknown, 12, 9, 0.2.0.5
blaze-textual-native, Unknown, 2, 1, 
blazeMarker, Unknown, 1, 0, 
blazeT, Unknown, 4, 3, 0.0.2, 0.0.3, 0.0.4
blink1, PVP, 5, 4, 0.3, 0.3.1, 0.4
blip, Unknown, 3, 0, 
bliplib, PVP, 3, 2, 0.2.0
blockhash, Unknown, 1, 0, 
blocking-transactions, Unknown, 2, 1, 
blogination, PVP, 6, 5, 0.2, 0.3, 0.5
bloodhound, PVP, 20, 4, 0.10.0.0, 0.11.0.0, 0.11.1.0, 0.12.0.0
bloodhound-amazonka-auth, Unknown, 2, 1, 0.1.1.0
bloomfilter, PVP, 21, 20, 1.1.0, 1.2.6.7, 2.0.0.0
bloomfilter-redis, Unknown, 4, 3, 0.1.0.1, 0.1.0.2, 0.1.0.3
blosum, Unknown, 4, 2, 
bloxorz, Unknown, 3, 0, 
blubber, Unknown, 1, 0, 
blubber-server, Unknown, 1, 0, 
bluetile, Unknown, 12, 0, 
bluetileutils, Unknown, 2, 0, 
blunt, SemVer, 20, 19, 0.0.9, 0.0.12, 0.0.13, 0.0.14, 0.0.15, 1.0.0
bmp, PVP, 21, 20, 1.1.0.0, 1.1.2.1, 1.2.0.1, 1.2.3.3, 1.2.6.1
board-games, Unknown, 6, 0, 
bogre-banana, Unknown, 1, 0, 
bolt, Unknown, 6, 5, 
bond, Unknown, 6, 5, 0.4.0.2
bond-haskell, Unknown, 7, 4, 
bond-haskell-compiler, Unknown, 8, 6, 0.1.3.0, 0.1.4.0
bookkeeper, Unknown, 9, 0, 
bookkeeper-permissions, Unknown, 1, 0, 
bool-extras, PVP, 3, 1, 0.3.0
boolean-like, Unknown, 2, 0, 
boolean-list, Unknown, 1, 0, 
boolean-normal-forms, Unknown, 1, 0, 
boolexpr, Unknown, 1, 0, 
bools, Unknown, 3, 0, 
boolsimplifier, Unknown, 5, 0, 
boomange, Unknown, 11, 0, 
boombox, Unknown, 1, 0, 
boomerang, PVP, 19, 14, 1.1.0, 1.1.1, 1.2.0, 1.3.0, 1.3.2, 1.3.4, 1.3.4.1, 1.4.0, 1.4.4, 1.4.5, 1.4.5.1
boomslang, Unknown, 4, 0, 
borel, Unknown, 1, 0, 
boring-window-switcher, Unknown, 3, 2, 
bot, Unknown, 3, 0, 
both, Unknown, 2, 1, 0.1.1.0
botpp, Unknown, 1, 0, 
bound, PVP, 31, 14, 0.1.3, 0.3.1, 0.4, 0.5
bound-gen, Unknown, 3, 1, 
bounded-tchan, Unknown, 5, 4, 
boundingboxes, Unknown, 6, 1, 
bower-json, PVP, 11, 10, 0.2.0.0, 0.3.0.0, 0.5.0.0, 0.8.0, 1.0.0
bowntz, Unknown, 2, 0, 
box-tuples, Unknown, 1, 0, 
boxes, Unknown, 5, 3, 
bpann, Unknown, 2, 0, 
braid, Unknown, 1, 0, 
brainfuck, Unknown, 4, 3, 0.1.0.3
brainfuck-monad, PVP, 5, 4, 0.1.0, 0.2.0, 0.4.0, 0.5.0
brainfuck-tut, Unknown, 8, 7, 0.7.0.1
break, Unknown, 2, 0, 
breakout, Unknown, 2, 0, 
breve, Unknown, 14, 0, 
brians-brain, Unknown, 1, 0, 
brick, PVP, 27, 23, 0.2.3, 0.3, 0.3.1, 0.4, 0.4.1, 0.5, 0.5.1, 0.6, 0.6.1, 0.6.2, 0.6.3, 0.6.4, 0.7, 0.8, 0.9, 0.10, 0.11, 0.12, 0.13, 0.14, 0.15, 0.15.2
brillig, Unknown, 2, 1, 
broadcast-chan, Unknown, 2, 0, 
broccoli, Unknown, 6, 0, 
broker-haskell, Unknown, 1, 0, 
bsd-sysctl, Unknown, 8, 7, 1.0.1, 1.0.3, 1.0.6
bson, PVP, 23, 11, 0.0.4, 0.1, 0.1.2, 0.1.4
bson-generic, Unknown, 7, 6, 0.0.5, 0.0.5.1, 0.0.7, 0.0.8.1
bson-generics, Unknown, 1, 0, 
bson-lens, Unknown, 2, 0, 
bson-mapping, Unknown, 6, 5, 0.1.1, 0.1.4
bspack, Unknown, 4, 3, 0.0.3, 0.0.4
bsparse, Unknown, 5, 3, 
btree-concurrent, Unknown, 5, 0, 
btrfs, Unknown, 7, 6, 0.1.2.0
buchhaltung, Unknown, 3, 0, 
buffer-builder, Unknown, 15, 8, 0.2.0.3, 0.2.1.0, 0.2.2.0, 0.2.2.1, 0.2.2.2, 0.2.3.0, 0.2.4.0, 0.2.4.1
buffer-builder-aeson, PVP, 4, 3, 0.2.0.0, 0.2.0.4
buffer-pipe, Unknown, 1, 0, 
buffon, Unknown, 1, 0, 
bugzilla, Unknown, 5, 2, 
buildable, Unknown, 4, 3, 
buildbox, PVP, 32, 21, 1.0.1.0, 1.2.0.0, 1.3.0.0, 1.3.0.1, 1.5.0.1, 2.1.6.1, 2.1.7.1, 2.1.8.1, 2.1.9.1
buildbox-tools, Unknown, 6, 0, 
buildwrapper, Unknown, 37, 6, 
bullet, Unknown, 5, 0, 
bumper, Unknown, 11, 0, 
burst-detection, Unknown, 1, 0, 
bus-pirate, PVP, 9, 4, 0.4, 0.6
buster, Unknown, 13, 0, 
buster-gtk, Unknown, 2, 0, 
buster-network, Unknown, 3, 2, 
bustle, Unknown, 11, 0, 
butterflies, Unknown, 1, 0, 
bv, PVP, 7, 4, 0.2.0, 0.4.0
byline, Unknown, 5, 2, 0.2.1.0
bytable, PVP, 12, 11, 0.0.0.9, 0.1.0.0
byteable, Unknown, 2, 1, 
bytedump, Unknown, 2, 1, 
byteorder, Unknown, 5, 4, 
bytes, PVP, 33, 27, 0.5, 0.7, 0.9, 0.15, 0.15.1
byteset, Unknown, 2, 1, 
bytestring, Unknown, 27, 10, 0.10.2.0, 0.10.6.0
bytestring-arbitrary, Unknown, 6, 0, 
bytestring-builder, Unknown, 8, 0, 
bytestring-class, Unknown, 2, 0, 
bytestring-conversion, PVP, 6, 3, 0.2
bytestring-csv, Unknown, 3, 2, 0.1.2
bytestring-delta, Unknown, 2, 1, 
bytestring-from, Unknown, 5, 0, 
bytestring-handle, Unknown, 6, 5, 
bytestring-lexing, PVP, 16, 10, 0.3.0, 0.5.0
bytestring-mmap, PVP, 5, 4, 0.2.0
bytestring-nums, PVP, 10, 9, 0.3.0, 0.3.2, 0.3.6
bytestring-plain, Unknown, 3, 0, 
bytestring-progress, Unknown, 9, 4, 
bytestring-read, PVP, 5, 4, 0.2.0, 0.3.0
bytestring-rematch, Unknown, 1, 0, 
bytestring-short, PVP, 2, 1, 0.1.0.0
bytestring-show, Unknown, 15, 8, 0.3.4
bytestring-time, Unknown, 1, 0, 
bytestring-tree-builder, Unknown, 13, 11, 
bytestring-trie, Unknown, 9, 8, 0.1.3, 0.2.2
bytestringparser, PVP, 4, 3, 0.2.2, 0.3
bytestringparser-temporary, PVP, 5, 4, 0.3.0, 0.4.1
bytestringreadp, Unknown, 2, 1, 
bzlib, PVP, 11, 8, 0.5.0.0
bzlib-conduit, Unknown, 8, 5, 0.2.1.4
c-dsl, Unknown, 4, 1, 
c-io, Unknown, 1, 0, 
c-storable-deriving, Unknown, 4, 3, 0.1.3
c0check, Unknown, 3, 0, 
c0parser, PVP, 3, 2, 0.2
c10k, PVP, 6, 5, 0.2.0, 0.4.0
c2ats, Unknown, 1, 0, 
c2hs, Unknown, 24, 0, 
c2hsc, Unknown, 13, 0, 
cab, Unknown, 35, 6, 0.2.1, 0.2.16
cabal, Unknown, 1, 0, 
cabal-audit, Unknown, 3, 0, 
cabal-bounds, PVP, 44, 23, 0.7, 0.8, 0.8.1, 0.8.2, 0.8.3, 0.8.4, 0.8.5, 0.8.6, 0.8.7, 0.8.8, 0.8.9, 0.9, 0.9.3, 0.9.4, 0.9.5, 1.0.0, 1.0.1, 1.0.2, 1.0.3, 1.0.4
cabal-cargs, PVP, 19, 6, 0.6
cabal-constraints, Unknown, 1, 0, 
cabal-db, Unknown, 13, 0, 
cabal-debian, PVP, 70, 15, 3.0.4, 3.0.7, 3.4, 3.4.2, 3.5, 4.15, 4.17.5, 4.32, 4.35.5
cabal-dependency-licenses, Unknown, 6, 0, 
cabal-dev, Unknown, 12, 0, 
cabal-dir, Unknown, 5, 0, 
cabal-file-th, Unknown, 6, 4, 0.2.2, 0.2.4
cabal-ghc-dynflags, Unknown, 2, 0, 
cabal-ghci, PVP, 5, 4, 0.1.1, 0.2.0
cabal-graphdeps, Unknown, 4, 0, 
cabal-helper, PVP, 27, 25, 0.3.0.0, 0.3.5.0, 0.3.6.0, 0.4.0.0, 0.5.0.0, 0.6.0.0, 0.6.1.0, 0.7.0.1, 0.7.2.0
cabal-info, Unknown, 1, 0, 
cabal-install, Unknown, 50, 0, 
cabal-install-bundle, Unknown, 7, 0, 
cabal-install-ghc72, Unknown, 2, 0, 
cabal-install-ghc74, Unknown, 1, 0, 
cabal-lenses, PVP, 13, 9, 0.2, 0.3, 0.3.1, 0.4, 0.4.1, 0.4.2, 0.4.3, 0.4.4, 0.4.5
cabal-macosx, Unknown, 12, 9, 0.2.3.1, 0.2.3.4
cabal-meta, PVP, 15, 12, 0.3, 0.4, 0.4.1.3
cabal-mon, Unknown, 3, 0, 
cabal-nirvana, Unknown, 6, 0, 
cabal-progdeps, Unknown, 1, 0, 
cabal-query, Unknown, 1, 0, 
cabal-rpm, Unknown, 48, 0, 
cabal-scripts, Unknown, 2, 0, 
cabal-setup, Unknown, 1, 0, 
cabal-sign, Unknown, 7, 0, 
cabal-sort, Unknown, 12, 0, 
cabal-src, Unknown, 12, 0, 
cabal-test, Unknown, 1, 0, 
cabal-test-bin, Unknown, 6, 1, 
cabal-test-compat, PVP, 2, 1, 0.2.0.0
cabal-test-quickcheck, Unknown, 8, 5, 
cabal-uninstall, Unknown, 6, 0, 
cabal-upload, Unknown, 4, 0, 
cabal2arch, Unknown, 36, 0, 
cabal2doap, Unknown, 2, 0, 
cabal2ebuild, Unknown, 6, 0, 
cabal2ghci, Unknown, 2, 0, 
cabal2nix, Unknown, 76, 4, 2.0.1, 2.0.3
cabal2spec, Unknown, 1, 0, 
cabalQuery, Unknown, 2, 0, 
cabalg, Unknown, 13, 2, 
cabalgraph, Unknown, 1, 0, 
cabalmdvrpm, Unknown, 1, 0, 
cabalrpmdeps, Unknown, 2, 0, 
cabalvchk, Unknown, 2, 0, 
cabin, Unknown, 2, 0, 
cabocha, Unknown, 1, 0, 
cache, Unknown, 1, 0, 
cached-io, Unknown, 2, 0, 
cached-traversable, Unknown, 2, 0, 
cacophony, PVP, 9, 3, 0.4.0, 0.5.0, 0.6.0
caf, Unknown, 3, 0, 
cafeteria-prelude, Unknown, 1, 0, 
caffegraph, Unknown, 3, 0, 
cairo, Unknown, 23, 9, 0.11.1, 0.13.1.1
cairo-appbase, Unknown, 3, 0, 
cake, Unknown, 9, 0, 
cake3, PVP, 11, 3, 0.6.0, 0.6.4
cakyrespa, Unknown, 21, 0, 
cal3d, Unknown, 1, 0, 
cal3d-examples, Unknown, 1, 0, 
cal3d-opengl, Unknown, 1, 0, 
calc, Unknown, 1, 0, 
calculator, Unknown, 27, 0, 
caldims, Unknown, 1, 0, 
caledon, Unknown, 9, 0, 
calendar-recycling, Unknown, 1, 0, 
call, Unknown, 14, 0, 
call-haskell-from-anything, SemVer, 4, 2, 1.0.0.0, 1.0.1.0
call-stack, Unknown, 1, 0, 
camfort, Unknown, 8, 0, 
camh, Unknown, 2, 0, 
campfire, Unknown, 3, 1, 
canonical-filepath, Unknown, 4, 2, 
canteven-config, SemVer, 2, 1, 1.0.0.0
canteven-http, Unknown, 3, 0, 
canteven-listen-http, Unknown, 1, 0, 
canteven-log, SemVer, 6, 3, 0.3.0.2, 1.0.0.0
canteven-parsedate, Unknown, 1, 0, 
canteven-template, Unknown, 1, 0, 
cantor, Unknown, 4, 0, 
cao, Unknown, 2, 0, 
cap, Unknown, 2, 0, 
capped-list, PVP, 3, 1, 1.2
capri, Unknown, 1, 0, 
car-pool, Unknown, 3, 0, 
caramia, Unknown, 15, 0, 
carboncopy, Unknown, 2, 0, 
carettah, Unknown, 17, 0, 
carray, Unknown, 14, 13, 0.1.1, 0.1.4, 0.1.5, 0.1.5.2, 0.1.6, 0.1.6.4, 0.1.6.5
carte, Unknown, 1, 0, 
cartel, PVP, 17, 14, 0.4.0.0, 0.8.0.0, 0.10.0.0, 0.12.0.0, 0.14.0.0, 0.14.2.4, 0.16.0.0
casa-abbreviations-and-acronyms, Unknown, 1, 0, 
casadi-bindings, Unknown, 45, 0, 
casadi-bindings-control, Unknown, 1, 0, 
casadi-bindings-core, Unknown, 17, 0, 
casadi-bindings-internal, Unknown, 8, 0, 
casadi-bindings-ipopt-interface, Unknown, 3, 0, 
casadi-bindings-snopt-interface, Unknown, 2, 0, 
cascading, Unknown, 1, 0, 
case-conversion, Unknown, 1, 0, 
case-insensitive, PVP, 26, 20, 0.2, 0.4, 1.0, 1.1
case-insensitive-match, Unknown, 2, 0, 
cased, Unknown, 1, 0, 
cases, Unknown, 6, 5, 
cash, Unknown, 2, 0, 
casing, Unknown, 2, 1, 
casr-logbook, PVP, 19, 13, 0.0.2, 0.0.7, 0.0.9, 0.1.0
casr-logbook-html, Unknown, 3, 2, 
casr-logbook-meta, Unknown, 4, 0, 
casr-logbook-meta-html, Unknown, 4, 3, 0.0.2
casr-logbook-reports, Unknown, 2, 1, 
casr-logbook-reports-html, Unknown, 2, 1, 
casr-logbook-reports-meta, Unknown, 3, 2, 
casr-logbook-reports-meta-html, Unknown, 3, 2, 
casr-logbook-types, Unknown, 2, 0, 
cassandra-cql, PVP, 12, 11, 0.1.0.0, 0.2.0.0, 0.2.0.2, 0.4.0.1, 0.5.0.0
cassandra-thrift, PVP, 14, 11, 0.0.2, 0.0.4, 0.6.6, 0.7.0, 0.8.0, 0.8.5
cassava, PVP, 21, 14, 0.1.0.1, 0.2.0.0, 0.4.3.0, 0.4.5.0
cassava-conduit, PVP, 12, 8, 0.2.0
cassava-megaparsec, Unknown, 1, 0, 
cassava-streams, PVP, 4, 3, 0.1.1.0, 0.2.0.0
cassette, Unknown, 1, 0, 
cassy, PVP, 10, 4, 0.3.2, 0.4
castle, Unknown, 2, 0, 
casui, Unknown, 1, 0, 
catamorphism, Unknown, 6, 5, 
catch-fd, PVP, 6, 5, 0.1.0.1, 0.1.0.2, 0.2.0.0
categorical-algebra, Unknown, 1, 0, 
categories, PVP, 22, 21, 0.54.1, 0.55.0, 0.56.0, 0.57.0, 0.58.0, 0.58.0.3, 0.59, 1.0, 1.0.1, 1.0.4, 1.0.7
category-extras, PVP, 22, 8, 0.52.0, 0.52.1, 0.52.3, 0.53.0, 0.53.1, 0.53.3
category-printf, Unknown, 4, 3, 0.1.0.1, 0.1.0.2, 0.1.1.0
category-traced, Unknown, 2, 0, 
cautious-file, Unknown, 8, 7, 
cayley-client, PVP, 13, 9, 0.1.1.0, 0.2.0.0, 0.2.1.0, 0.3.0
cayley-dickson, PVP, 9, 8, 0.1.3.0, 0.2.0.0, 0.2.1.0, 0.3.0.0
cblrepo, Unknown, 45, 0, 
cci, Unknown, 1, 0, 
ccnx, Unknown, 1, 0, 
cctools-workqueue, Unknown, 2, 0, 
cedict, Unknown, 6, 0, 
cef, Unknown, 5, 2, 0.1.2
ceilometer-common, Unknown, 2, 0, 
cellrenderer-cairo, Unknown, 1, 0, 
cerberus, Unknown, 1, 0, 
cereal, PVP, 19, 16, 0.2, 0.3.0.0, 0.5.0.0, 0.5.2.0, 0.5.3.0, 0.5.4.0
cereal-conduit, PVP, 18, 13, 0.0.2, 0.0.4, 0.5, 0.6, 0.7, 0.7.2.4
cereal-derive, Unknown, 2, 1, 
cereal-enumerator, PVP, 5, 4, 0.3, 0.3.1
cereal-ieee754, Unknown, 1, 0, 
cereal-io-streams, Unknown, 1, 0, 
cereal-plus, Unknown, 9, 0, 
cereal-streams, Unknown, 1, 0, 
cereal-text, Unknown, 3, 2, 0.1.0.2
cereal-vector, PVP, 3, 1, 0.2.0.0
certificate, PVP, 40, 19, 0.3, 0.3.2, 0.4.0, 0.6.0, 0.7.0, 1.2.8, 1.3.0, 1.3.5
cf, PVP, 6, 5, 0.2, 0.4, 0.4.2
cfipu, Unknown, 1, 0, 
cflp, PVP, 21, 14, 0.1, 0.2.0, 0.2.2, 2009.1.13, 2009.1.16, 2009.1.19, 2009.1.23, 2009.1.24, 2009.1.26, 2009.2.1
cfopu, Unknown, 2, 0, 
cg, Unknown, 1, 0, 
cgen, Unknown, 5, 0, 
cgi, PVP, 30, 19, 3001.1.5.2, 3001.1.6.0, 3001.1.7.0, 3001.1.7.1, 3001.1.7.2, 3001.1.7.3, 3001.1.7.4, 3001.1.7.5, 3001.1.8, 3001.1.8.1, 3001.1.8.2, 3001.1.8.3, 3001.1.8.4, 3001.2.2.1, 3001.2.2.2, 3001.2.2.3, 3001.3.0.0, 3001.3.0.1, 3001.3.0.2
cgi-undecidable, Unknown, 1, 0, 
cgi-utils, Unknown, 4, 3, 0.2.1
cgrep, Unknown, 54, 0, 
chain-codes, Unknown, 3, 0, 
chalk, Unknown, 3, 0, 
chalkboard, PVP, 4, 1, 0.2
chalkboard-viewer, Unknown, 1, 0, 
chalmers-lava2000, PVP, 13, 9, 1.1.0, 1.1.2, 1.5, 1.5.1
chan-split, Unknown, 6, 0, 
change-monger, Unknown, 1, 0, 
charade, Unknown, 3, 2, 
charset, PVP, 21, 6, 0.1, 0.2.0
charsetdetect, Unknown, 1, 0, 
charsetdetect-ae, Unknown, 4, 3, 
chart-histogram, Unknown, 7, 0, 
chart-unit, Unknown, 1, 0, 
chaselev-deque, Unknown, 6, 3, 
